timestamp,totalResources,freeResources,busyResources,jobsInQueue,pendingJobs
1731213734,128,127,1,0,0
1731213734,128,126,2,0,0
1731213734,128,125,3,0,0
1731213734,128,124,4,0,0
1731213734,128,123,5,0,0
1731213734,128,122,6,0,0
1731213734,128,121,7,0,0
1731213734,128,120,8,0,0
1731213734,128,119,9,0,0
1731213734,128,118,10,0,0
1731213739,128,117,11,0,0
1731213739,128,116,12,0,0
1731213739,128,115,13,0,0
1731213739,128,114,14,0,0
1731213739,128,113,15,0,0
1731213739,128,112,16,0,0
1731213739,128,111,17,0,0
1731213739,128,110,18,0,0
1731213739,128,109,19,0,0
1731213739,128,108,20,0,0
1731213740,128,107,21,0,0
1731213740,128,106,22,0,0
1731213740,128,105,23,0,0
1731213740,128,104,24,0,0
1731213740,128,103,25,0,0
1731213740,128,102,26,0,0
1731213740,128,101,27,0,0
1731213740,128,100,28,0,0
1731213740,128,99,29,0,0
1731213740,128,98,30,0,0
1731213740,128,97,31,0,0
1731213740,128,96,32,0,0
1731213740,128,95,33,0,0
1731213740,128,94,34,0,0
1731213740,128,93,35,0,0
1731213740,128,92,36,0,0
1731213740,128,91,37,0,0
1731213740,128,90,38,0,0
1731213740,128,89,39,0,0
1731213740,128,88,40,0,0
1731213740,128,87,41,0,0
1731213740,128,86,42,0,0
1731213740,128,85,43,0,0
1731213740,128,84,44,0,0
1731213740,128,83,45,0,0
1731213740,128,82,46,0,0
1731213740,128,81,47,0,0
1731213740,128,80,48,0,0
1731213740,128,79,49,0,0
1731213745,128,78,50,0,0
1731213745,128,77,51,0,0
1731213745,128,76,52,0,0
1731213745,128,75,53,0,0
1731213745,128,74,54,0,0
1731213745,128,73,55,0,0
1731213745,128,72,56,0,0
1731213745,128,71,57,0,0
1731213745,128,70,58,0,0
1731213745,128,69,59,0,0
1731213745,128,68,60,0,0
1731213745,128,67,61,0,0
1731213745,128,66,62,0,0
1731213745,128,65,63,0,0
1731213745,128,64,64,0,0
1731213745,128,63,65,0,0
1731213745,128,62,66,0,0
1731213745,128,61,67,0,0
1731213745,128,60,68,0,0
1731213745,128,59,69,0,0
1731213745,128,58,70,0,0
1731213745,128,57,71,0,0
1731213745,128,56,72,0,0
1731213746,128,55,73,0,0
1731213746,128,54,74,0,0
1731213746,128,53,75,0,0
1731213746,128,52,76,0,0
1731213746,128,51,77,0,0
1731213746,128,50,78,0,0
1731213746,128,49,79,0,0
1731213746,128,48,80,0,0
1731213746,128,47,81,0,0
1731213746,128,46,82,0,0
1731213746,128,45,83,0,0
